displacement_snl_sim,force_snl_sim,displacement_snl_exp_1,force_snl_exp_1,displacement_snl_exp_2,force_snl_exp_2,displacement_snl_exp_3,force_snl_exp_3,force_snl_exp_3
inch,lbf,inch,lbf,inch,lbf,inch,lbf,lbf
0.002808306,1596.567229,-0.003141201,-3.735374276,-0.004546519,-11.78,-0.003493299,-10.94353939,-10.94353939
0.004716421,2221.49105,-0.002785156,-4.403634209,-0.004546519,-11.78,-0.003125843,-10.94050808,-10.94050808
0.007029397,2441.591311,-0.002425325,-5.088480135,-0.004546519,-11.79390519,-0.002738935,-10.91650808,-10.91650808
0.010331466,2614.702338,-0.002035771,-5.784480135,-0.004546519,-11.81378074,-0.002258244,-7.37839899,-7.37839899
0.014717902,2718.976767,-0.001607522,-5.348690101,-0.004546519,-11.84701259,-0.001709238,14.35664192,14.35664192
0.019975947,2730.557005,-0.001143741,7.475770631,-0.004546519,-11.87701259,-0.001112199,54.94864192,54.94864192
0.025768409,2713.093528,-0.000675965,28.27987164,-0.004546519,-10.82175704,-0.000479365,116.8953777,116.8953777
0.031560871,2618.453675,-0.000292325,64.5529208,-0.004092075,6.135337778,0.000200305,202.0093777,202.0093777
0.037353332,2472.33296,-6.93E-05,114.9021789,-0.003573414,45.10733778,0.000560344,331.1343777,331.1343777
0.043145794,2363.074682,0.000158123,171.6136056,-0.002938872,111.9493378,0.000988153,491.7353777,491.7353777
0.048938256,2164.699693,0.00041084,240.9479503,-0.002271185,231.3713378,0.001458366,704.4089171,704.4089171
0.054730718,2021.956539,0.00068965,321.9407273,-0.001558784,383.3043378,0.00197127,935.4278858,935.4278858
0.06052318,2098.015836,0.00097655,426.5782369,-0.000794288,584.137243,0.002531909,1181.470546,1181.470546
0.066315642,2016.133638,0.001243065,554.6195202,3.23E-05,787.2361185,0.003094712,1441.455793,1441.455793
0.072108103,2041.236725,0.001489505,701.6885564,0.000909166,1019.686364,0.00370171,1699.160176,1699.160176
0.077900565,2229.94074,0.001734338,855.0989783,0.001780085,1285.179606,0.004223691,1956.343227,1956.343227
0.083693027,2136.458923,0.002008581,1009.230781,0.002708373,1573.393017,0.004949159,2192.604738,2192.604738
0.089485489,2282.680007,0.002337031,1177.567955,0.003300484,1864.750356,0.005829437,2423.073062,2423.073062
0.095277951,2282.18272,0.002733275,1359.160455,0.003925015,2122.586356,0.006850731,2625.93983,2625.93983
0.101070413,2291.977135,0.003163373,1549.899353,0.004442639,2386.819732,0.007979383,2805.63306,2805.63306
0.106862874,2328.042152,0.003619063,1734.852007,0.005053579,2611.713477,0.009201574,2939.551673,2939.551673
0.112655336,2483.105608,0.004118429,1911.651823,0.005879266,2812.516665,0.010554429,3063.285099,3063.285099
0.118447798,2717.942357,0.00480811,2073.44381,0.006795325,2950.375665,0.012013659,3176.237001,3176.237001
0.12424026,2594.710892,0.005629855,2212.371665,0.007768534,3102.559641,0.013560049,3279.493036,3279.493036
0.130032722,2430.11055,0.006553994,2336.708572,0.008704863,3234.077418,0.015026762,3372.362596,3372.362596
0.135825184,2481.486094,0.007526269,2449.647404,0.009774916,3336.848424,0.016792513,3454.575117,3454.575117
0.142138035,2447.563188,0.008667023,2562.763003,0.010907785,3419.974291,0.018496589,3544.535006,3544.535006
0.148275897,2517.29798,0.00977589,2656.376835,0.012095015,3484.356351,0.02010494,3621.800426,3621.800426
,,0.011027493,2732.092512,0.013265595,3544.081742,0.02165418,3686.362548,3686.362548
